"Pathway","Number of metabolites","Metabolites","Overlap type"
"Citrate cycle (TCA cycle)",16,"10-heptadecenoate (C18n_QI23), crustecdysone (C18n_QI81), 13-cis-retinoic acid (C18n_QI92), Asn - deoxycholate (C18n_QI10374), Glu - deoxycholate (C18n_QI10801), isodeoxycholic acid (C18n_QI6769), 5-acetylamino-6-amino-3-methyluracil (HILn_QI19), cinnamoylglycine (HILn_QI41), guanosine (HILn_QI66), inosine (HILn_QI76), pyrocatechol (HILn_QI103), inosine (HILp_QI7107), 1-methylguanosine (HILp_QI8513), 5-acetylamino-6-amino-3-methyluracil (HILp_QI3985), 8-hydroxy-deoxyguanosine (HILp_QI7860), beta-guanidinopropionic acid (HILp_TF26)","Shared"
"Coronavirus disease - COVID-19",12,"10-heptadecenoate (C18n_QI23), 13-cis-retinoic acid (C18n_QI92), Glu - deoxycholate (C18n_QI10801), isodeoxycholic acid (C18n_QI6769), cinnamoylglycine (HILn_QI41), imidazolelactate (HILn_QI73), inosine (HILn_QI76), pyrocatechol (HILn_QI103), inosine (HILp_QI7107), 4-aminophenol (HILp_QI418), 5-acetylamino-6-amino-3-methyluracil (HILp_QI3985), beta-guanidinopropionic acid (HILp_TF26)","Shared"
"Pyruvate metabolism",12,"10-heptadecenoate (C18n_QI23), crustecdysone (C18n_QI81), 13-cis-retinoic acid (C18n_QI92), Asn - deoxycholate (C18n_QI10374), Glu - deoxycholate (C18n_QI10801), isodeoxycholic acid (C18n_QI6769), 5-acetylamino-6-amino-3-methyluracil (HILn_QI19), guanosine (HILn_QI66), inosine (HILn_QI76), 4-aminophenol (HILp_QI418), 5-acetylamino-6-amino-3-methyluracil (HILp_QI3985), beta-guanidinopropionic acid (HILp_TF26)","Shared"
"IL-17 signaling pathway",10,"10-heptadecenoate (C18n_QI23), crustecdysone (C18n_QI81), Glu - deoxycholate (C18n_QI10801), isodeoxycholic acid (C18n_QI6769), cinnamoylglycine (HILn_QI41), imidazolelactate (HILn_QI73), pyrocatechol (HILn_QI103), inosine (HILp_QI7107), 1-methylguanosine (HILp_QI8513), beta-guanidinopropionic acid (HILp_TF26)","Shared"
"Hepatitis B",9,"10-heptadecenoate (C18n_QI23), crustecdysone (C18n_QI81), 13-cis-retinoic acid (C18n_QI92), Glu - deoxycholate (C18n_QI10801), cinnamoylglycine (HILn_QI41), inosine (HILn_QI76), pyrocatechol (HILn_QI103), 1-methylguanosine (HILp_QI8513), 4-guanidinobutanoic acid (HILp_QI1750)","Shared"
"Rheumatoid arthritis",8,"10-heptadecenoate (C18n_QI23), Glu - deoxycholate (C18n_QI10801), 5-acetylamino-6-amino-3-methyluracil (HILn_QI19), cinnamoylglycine (HILn_QI41), pyrocatechol (HILn_QI103), 1-methylguanosine (HILp_QI8513), 5-acetylamino-6-amino-3-methyluracil (HILp_QI3985), beta-guanidinopropionic acid (HILp_TF26)","Shared"
"Influenza A",7,"10-heptadecenoate (C18n_QI23), 13-cis-retinoic acid (C18n_QI92), Glu - deoxycholate (C18n_QI10801), isodeoxycholic acid (C18n_QI6769), imidazolelactate (HILn_QI73), inosine (HILn_QI76), pyrocatechol (HILn_QI103)","Shared"
"Leishmaniasis",7,"10-heptadecenoate (C18n_QI23), crustecdysone (C18n_QI81), 13-cis-retinoic acid (C18n_QI92), inosine (HILn_QI76), 4-guanidinobutanoic acid (HILp_QI1750), 5-acetylamino-6-amino-3-methyluracil (HILp_QI3985), beta-guanidinopropionic acid (HILp_TF26)","Shared"
"Valine, leucine and isoleucine degradation",7,"10-heptadecenoate (C18n_QI23), crustecdysone (C18n_QI81), Glu - deoxycholate (C18n_QI10801), 5-acetylamino-6-amino-3-methyluracil (HILn_QI19), inosine (HILn_QI76), inosine (HILp_QI7107), 4-guanidinobutanoic acid (HILp_QI1750)","Shared"
"NF-kappa B signaling pathway",6,"10-heptadecenoate (C18n_QI23), crustecdysone (C18n_QI81), 13-cis-retinoic acid (C18n_QI92), Glu - deoxycholate (C18n_QI10801), isodeoxycholic acid (C18n_QI6769), pyrocatechol (HILn_QI103)","Shared"
