"Pathway","Number of metabolites","Metabolites","Overlap type"
"Citrate cycle (TCA cycle)",4,"taurohyodeoxycholate/tauroursodeoxycholate (C18n_QI10150), beta-sitosterol (C8p_QI214), 2-aminoadipate (HILn_TF1), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Coronavirus disease - COVID-19",4,"taurohyodeoxycholate/tauroursodeoxycholate (C18n_QI10150), 2-aminoadipate (HILn_TF1), taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"IL-17 signaling pathway",4,"beta-sitosterol (C8p_QI214), 2-aminoadipate (HILn_TF1), taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Rheumatoid arthritis",4,"beta-sitosterol (C8p_QI214), 2-aminoadipate (HILn_TF1), taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Cytokine-cytokine receptor interaction",3,"2-aminoadipate (HILn_TF1), taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Hepatitis B",3,"2-aminoadipate (HILn_TF1), taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Influenza A",3,"taurohyodeoxycholate/tauroursodeoxycholate (C18n_QI10150), 2-aminoadipate (HILn_TF1), taurine (HILn_QI116)","Shared"
"Leishmaniasis",3,"2-aminoadipate (HILn_TF1), taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"NF-kappa B signaling pathway",3,"2-aminoadipate (HILn_TF1), taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"NOD-like receptor signaling pathway",3,"2-aminoadipate (HILn_TF1), taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Oxidative phosphorylation",3,"beta-sitosterol (C8p_QI214), taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Chagas disease",2,"taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Cysteine and methionine metabolism",2,"beta-sitosterol (C8p_QI214), taurine (HILn_QI116)","Shared"
"Epstein-Barr virus infection",2,"2-aminoadipate (HILn_TF1), taurine (HILn_QI116)","Shared"
"Kaposi sarcoma-associated herpesvirus infection",2,"taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Osteoclast differentiation",2,"taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Pathways in cancer",2,"taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Pyruvate metabolism",2,"taurohyodeoxycholate/tauroursodeoxycholate (C18n_QI10150), 2-aminoadipate (HILn_TF1)","Shared"
"RIG-I-like receptor signaling pathway",2,"2-aminoadipate (HILn_TF1), taurine (HILn_QI116)","Shared"
"Ribosome",2,"taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Spliceosome",2,"taurine (HILn_QI116), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Toxoplasmosis",2,"2-aminoadipate (HILn_TF1), taurine (HILn_QI116)","Shared"
"Viral protein interaction with cytokine and cytokine receptor",2,"2-aminoadipate (HILn_TF1), 5-hydroxytryptophan (HILp_QI4915)","Shared"
"Alanine, aspartate and glutamate metabolism",1,"2-aminoadipate (HILn_TF1)","Single"
"Amyotrophic lateral sclerosis",1,"5-hydroxytryptophan (HILp_QI4915)","Single"
"Cardiac muscle contraction",1,"beta-sitosterol (C8p_QI214)","Single"
"Colorectal cancer",1,"taurine (HILn_QI116)","Single"
"Complement and coagulation cascades",1,"5-hydroxytryptophan (HILp_QI4915)","Single"
"Cytoskeleton in muscle cells",1,"5-hydroxytryptophan (HILp_QI4915)","Single"
"Drug metabolism - cytochrome P450",1,"beta-sitosterol (C8p_QI214)","Single"
"Focal adhesion",1,"5-hydroxytryptophan (HILp_QI4915)","Single"
"Hepatitis C",1,"taurine (HILn_QI116)","Single"
"Hippo signaling pathway",1,"5-hydroxytryptophan (HILp_QI4915)","Single"
"Integrin signaling",1,"5-hydroxytryptophan (HILp_QI4915)","Single"
"Legionellosis",1,"2-aminoadipate (HILn_TF1)","Single"
"Lipid and atherosclerosis",1,"taurine (HILn_QI116)","Single"
"MAPK signaling pathway",1,"taurine (HILn_QI116)","Single"
"Measles",1,"2-aminoadipate (HILn_TF1)","Single"
"MicroRNAs in cancer",1,"5-hydroxytryptophan (HILp_QI4915)","Single"
"PPAR signaling pathway",1,"taurohyodeoxycholate/tauroursodeoxycholate (C18n_QI10150)","Single"
"Phagosome",1,"2-aminoadipate (HILn_TF1)","Single"
"Propanoate metabolism",1,"beta-sitosterol (C8p_QI214)","Single"
"Proteasome",1,"2-aminoadipate (HILn_TF1)","Single"
"Proximal tubule bicarbonate reclamation",1,"taurine (HILn_QI116)","Single"
"Relaxin signaling pathway",1,"5-hydroxytryptophan (HILp_QI4915)","Single"
"TNF signaling pathway",1,"taurine (HILn_QI116)","Single"
"Th17 cell differentiation",1,"taurine (HILn_QI116)","Single"
"Toll-like receptor signaling pathway",1,"taurine (HILn_QI116)","Single"
"Transcriptional misregulation in cancer",1,"5-hydroxytryptophan (HILp_QI4915)","Single"
"Valine, leucine and isoleucine degradation",1,"2-aminoadipate (HILn_TF1)","Single"
